country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Monaco,3460,3740,3970,4600,4890,5170,5470,5770,6430,6800,7090,7100,7260,7850,8100,8140,8070,8020,7890,8190,8010,8790,
Moldova,149,168,218,226,319,377,451,500,547,647,520,505,541,584,612,631,631,810,827,859,877,1210,
Madagascar,50.2,54.5,56.3,62.2,68.5,71.4,73.2,70.2,65.6,66.2,70.2,68.1,58.3,56.1,67.6,75.5,83.6,74.3,67.4,51.2,56.4,56.7,
Maldives,809,596,683,668,790,822,951,1050,1560,1240,1090,1090,1220,1250,1320,1530,1880,1760,1510,1640,1610,2070,
Mexico,499,542,572,672,724,743,786,831,859,903,887,924,985,1020,1020,1060,1090,1090,1100,1100,1150,1190,
Marshall Islands,349,320,293,292,367,503,522,442,397,394,408,392,397,440,442,538,576,569,655,711,620,677,
North Macedonia,543,503,562,581,594,591,629,603,677,705,749,748,774,840,830,865,948,993,1070,1250,1320,1540,
Mali,60.3,57.1,64.1,69.8,72.8,77,84.4,83.6,82.9,87.8,81,70.9,64,69.6,82.8,80.5,79.4,79.1,83.5,88.6,78.5,107,
Malta,1210,1300,1520,1660,1740,1940,2060,2050,2090,2120,2290,2460,2550,2770,3160,3370,3600,3860,3980,4600,4840,5320,
Myanmar,19,24,32,34,38,44,50,51,58,62,60,63,89,125,180,230,211,219,229,237,246,254,
Montenegro,,,,,,,,,,,,1130,1130,1230,1210,1450,1540,1550,1770,1960,2310,2440,
Mongolia,208,192,208,178,203,201,223,272,334,320,285,323,399,437,471,456,496,496,560,584,574,886,
Mozambique,10.4,15.3,18.9,20.8,24.2,31,31.9,33,37.8,48.6,53.2,52.1,55.2,67.3,72.8,87.4,99.8,101,107,107,99.3,122,
Mauritania,103,108,122,131,127,128,121,126,131,133,114,112,120,138,152,158,150,174,175,189,190,240,
Mauritius,266,285,319,342,379,420,443,468,559,614,701,699,707,816,991,1070,1150,1210,1300,1450,1350,1430,
Malawi,29.6,24.5,24.5,31.7,41,44.9,53.8,65.2,78,79.5,73.1,78.7,86.6,127,104,94.4,111,110,104,113,106,119,
Malaysia,357,381,396,457,479,476,565,597,611,644,647,716,790,818,904,924,920,963,1030,1110,1110,1270,
Namibia,476,504,533,570,662,689,753,836,799,725,823,878,877,894,892,1080,987,902,874,879,850,942,
Niger,35.1,37.8,39.7,39.3,41,51.7,55.5,51.4,52.5,52.9,52,51.4,49.4,49.9,50.4,60.9,51.7,64.5,64.8,71.9,79,75.8,
Nigeria,77,81.9,72.7,157,155,161,160,158,162,173,155,162,165,176,181,191,188,192,161,158,173,220,
Nicaragua,144,157,166,181,193,211,228,265,284,292,305,315,329,349,390,417,452,493,491,478,473,600,
Netherlands,2470,2680,2990,3100,3270,3430,3730,3980,4320,4470,4590,4780,4990,5220,5210,5200,5270,5590,5810,6130,6720,7180,
Norway,2860,3040,3430,3570,3770,4000,4300,4530,4950,5060,5190,5490,5770,6010,6190,6140,6270,6630,7020,7330,7460,8280,
Nepal,47,60,62,64,71,73,70,76,85,91,107,101,111,123,147,160,159,165,172,182,207,228,
Nauru,1150,942,724,562,277,434,591,917,1090,639,741,640,672,893,947,1680,1340,1350,1470,1520,1740,1870,
New Zealand,1610,1700,1840,1860,1990,2120,2400,2450,2720,2950,3000,3120,3180,3390,3510,3490,3730,3840,3890,4380,4610,4750,
Oman,1060,1130,1150,1130,1080,979,933,1030,928,1370,1320,1120,1150,1190,1400,1490,1410,1350,1130,1340,1790,1650,
Pakistan,72.8,70.9,74.7,68.3,71.4,88.4,106,110,108,99.5,96.8,88.8,92.2,103,110,114,122,136,148,153,156,167,
Panama,621,620,644,638,730,694,804,1000,1020,1050,1140,1200,1260,1410,1650,1830,2050,2270,2510,2780,2910,3090,
Peru,215,235,261,258,264,298,313,352,401,444,460,469,507,536,572,576,603,621,683,699,756,856,
Philippines,105,101,97,118,126,164,176,188,202,218,231,234,261,280,256,278,301,317,339,379,423,522,516
Palau,844,815,868,963,1140,1120,1220,1320,1250,1280,1500,1550,1770,1840,2010,2030,2130,2240,2340,2480,2470,2560,
Papua New Guinea,41.9,47.2,55.4,52.4,58.1,55,55.8,59.1,53.2,60.5,59.2,67.4,81.3,93.9,115,67.4,89.8,88.5,91,95.7,90.8,92.8,
Poland,564,630,716,731,783,807,879,987,1170,1270,1350,1420,1480,1580,1630,1720,1860,1970,2020,2260,2290,2460,2930
Portugal,1630,1690,1790,1910,2050,2200,2310,2380,2560,2680,2740,2600,2550,2620,2680,2760,2970,3070,3290,3550,3690,4090,4460
Paraguay,416,386,328,355,377,385,427,458,494,539,592,663,709,727,823,832,869,899,956,1020,1080,1220,
Qatar,1780,2080,2280,3300,3390,2880,2690,2400,1990,2700,2560,2520,2850,3290,3470,3590,3020,2960,2770,3040,3590,2950,
Romania,246,282,326,405,491,529,584,680,839,875,977,839,892,1030,1040,1070,1210,1390,1630,1890,2070,2340,
Russia,366,413,475,511,521,603,760,845,1060,1170,1090,1090,1200,1320,1350,1290,1290,1400,1560,1710,2270,2530,
Rwanda,22.4,22.4,23.9,53.8,62.7,70.8,76.5,85,90.2,97,106,112,117,102,116,117,128,124,141,145,163,180,
Saudi Arabia,1610,1680,1540,1600,1560,1570,1700,1680,1460,2000,1750,1950,2180,2380,2800,2820,2850,2870,2600,2670,3140,3030,
Sudan,106,97.3,100,124,140,146,185,226,222,248,200,213,223,275,258,260,318,279,206,204,157,127,
Senegal,71.6,77.3,82.4,94.1,105,88.4,93.1,86.9,91.8,101,108,114,118,122,126,132,133,136,153,161,184,167,
Singapore,1450,1370,1510,1710,1670,1750,1840,1920,2160,2240,2370,2480,2700,3020,3210,3560,3860,4050,3980,4400,5530,6350,
Solomon Islands,62.7,78.9,116,86.5,103,132,124,119,97.2,120,94.6,114,114,112,120,109,113,109,102,118,125,122,
Sierra Leone,85.8,52.4,71.4,68.7,74.6,81.7,85.6,87.8,95.1,106,103,129,124,199,346,308,259,150,137,158,156,152,
El Salvador,346,357,367,373,404,484,492,502,521,532,552,581,570,631,631,675,712,726,751,828,792,970,
San Marino,,3010,2760,2540,2650,2730,3010,3270,3650,3780,3480,4100,4290,4000,4070,4040,4790,4810,5000,5100,5050,5410,
Serbia,372,421,548,585,665,759,865,1050,1200,1170,1220,1250,1300,1360,1350,1310,1340,1360,1510,1680,1690,2160,
South Sudan,,,,,,,,,,,,,,,,,,86.4,56,51.4,50.1,33.8,
Sao Tome and Principe,186,197,198,248,243,253,200,204,192,195,196,201,190,261,255,203,248,252,223,220,310,347,
Suriname,486,323,470,463,565,573,681,648,619,665,660,662,702,784,812,971,877,945,1260,1660,1100,922,
Slovak Republic,602,660,733,772,970,1100,1300,1520,1650,1840,1950,1920,2040,2100,2000,2030,2110,2040,2090,2320,2350,2670,
Slovenia,1410,1490,1620,1710,1810,1910,2020,2080,2340,2360,2390,2470,2530,2620,2630,2690,2870,2990,3240,3590,3870,4170,4390
Sweden,2170,2370,2540,2650,2760,2800,3050,3280,3470,3550,3530,4660,4900,5070,5190,5330,5510,5640,5890,6140,6380,6780,7020
Eswatini,212,242,273,331,374,440,508,549,626,621,646,662,628,631,621,606,579,573,566,634,577,685,
Seychelles,666,713,627,694,658,695,728,713,658,632,848,871,1080,884,1060,1020,1250,1260,1370,1370,1730,1550,
Syria,146,153,171,184,173,169,163,162,152,167,159,170,144,,,,,,,,,,
Chad,45.9,49.1,71.8,61.2,80.2,75.8,76.3,69.9,66.2,73.4,74.4,70.6,67.1,64,71.8,82.2,79.5,74,71.8,72.6,87.2,81.4,
Togo,36,37.3,38.5,41.4,43,44.1,47.4,52.4,53.7,58.8,67.2,72.7,77.8,83.2,89.2,91.6,126,128,126,124,132,130,
Thailand,226,231,272,287,300,322,339,376,419,435,440,474,514,521,558,596,639,655,700,711,776,967,
